,Date,Artist,TrackName,aSearch,searcher,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
70,2020-05-09,Official HIGE DANdism,I LOVE…,Official HIGE,I LOVE… Official HIGE,4pRqq3MwcqitKqNO8rOrOb,0.0171,0.54,282027.0,0.706,0.0,9.0,0.225,-5.235,1.0,0.0543,172.021,4.0,0.385
71,2020-05-16,Official HIGE DANdism,I LOVE…,Official HIGE,I LOVE… Official HIGE,4pRqq3MwcqitKqNO8rOrOb,0.0171,0.54,282027.0,0.706,0.0,9.0,0.225,-5.235,1.0,0.0543,172.021,4.0,0.385
72,2020-05-23,Eito,Kousui,Eito,Kousui Eito,27VPS80Jww1fn7U1m1KH16,0.20600000000000002,0.882,278760.0,0.604,0.0,1.0,0.106,-4.106,0.0,0.0781,140.059,4.0,0.679
73,2020-05-30,YOASOBI,Yoru Ni Kakeru,YOASOBI,Yoru Ni Kakeru YOASOBI,6lDSHmkUEJgVL3CutvkAXP,0.0277,0.7090000000000001,274808.0,0.846,0.00108,0.0,0.35,-9.769,0.0,0.0321,130.02,4.0,0.659
74,2020-06-06,YOASOBI,Yoru Ni Kakeru,YOASOBI,Yoru Ni Kakeru YOASOBI,6lDSHmkUEJgVL3CutvkAXP,0.0277,0.7090000000000001,274808.0,0.846,0.00108,0.0,0.35,-9.769,0.0,0.0321,130.02,4.0,0.659
75,2020-06-13,YOASOBI,Yoru Ni Kakeru,YOASOBI,Yoru Ni Kakeru YOASOBI,6lDSHmkUEJgVL3CutvkAXP,0.0277,0.7090000000000001,274808.0,0.846,0.00108,0.0,0.35,-9.769,0.0,0.0321,130.02,4.0,0.659
76,2020-06-20,King & Prince,Mazy Night,King &,Mazy Night King &,4X8V2XPitQj8XbR0mWewKF,0.0909,0.6409999999999999,79269.0,0.72,0.95,2.0,0.21899999999999997,-10.56,1.0,0.0313,130.083,4.0,0.862
77,2020-06-27,KinKi Kids,Kanzai Boya,KinKi Kids,Kanzai Boya KinKi Kids,5wDtlj3XTZIYT6kiQMwMAf,0.722,0.281,315440.0,0.752,8.81e-05,0.0,0.254,-7.932,1.0,0.0795,82.465,4.0,0.302
78,2020-07-04,Johnny's WEST,Shouko,Johnny's WEST,Shouko Johnny's WEST,0pytE95uzhyjXXTrpxfWLU,0.0117,0.645,102095.0,0.23600000000000002,0.9229999999999999,1.0,0.11800000000000001,-18.157,1.0,0.16699999999999998,124.99799999999999,4.0,0.46399999999999997
79,2020-07-11,Hey! Say! JUMP,Last Mermaid...,Hey! Say!,Last Mermaid... Hey! Say!,4qqLcA5gyhOVi7UeCNR4o5,4.09e-05,0.493,40192.0,0.846,0.77,11.0,0.27699999999999997,-10.832,0.0,0.0373,155.982,4.0,0.9309999999999999
80,2020-07-18,TWICE,Fanfare,TWICE,Fanfare TWICE,49moLXpCwwantnF78yItWf,0.0302,0.669,220240.0,0.956,9.78e-06,6.0,0.0764,-2.49,1.0,0.126,114.92200000000001,4.0,0.81
81,2020-07-25,YOASOBI,Yoru Ni Kakeru,YOASOBI,Yoru Ni Kakeru YOASOBI,6lDSHmkUEJgVL3CutvkAXP,0.0277,0.7090000000000001,274808.0,0.846,0.00108,0.0,0.35,-9.769,0.0,0.0321,130.02,4.0,0.659
82,2020-08-01,SixTONES,Navigator,SixTONES,Navigator SixTONES,5abFWKPtkJ6UmFyzXCPrqX,0.057,0.599,55273.0,0.49,0.8320000000000001,6.0,0.068,-10.908,1.0,0.038,145.957,4.0,0.565
83,2020-08-08,ARASHI,Kaito,ARASHI,Kaito ARASHI,6WpcbQa66XkedmAB5i17jO,0.0922,0.8420000000000001,46811.0,0.7020000000000001,0.0027199999999999998,0.0,0.0935,-7.895,0.0,0.0509,129.999,4.0,0.9670000000000001
84,2020-08-15,Sexy Zone,Run,Sexy Zone,Run Sexy Zone,20TSPZyREDdlM8Pm7KrUXA,0.0369,0.858,186568.0,0.561,0.883,5.0,0.0985,-12.936,0.0,0.0459,116.015,4.0,0.16399999999999998
85,2020-08-22,Twenty Twenty,smile,Twenty Twenty,smile Twenty Twenty,5ay7lvuij2y4KFf3jThDsG,0.00103,0.631,280307.0,0.718,0.00043,2.0,0.0798,-14.522,1.0,0.0396,126.829,4.0,0.769
86,2020-08-29,Kanjani 8,Re:Live,Kanjani 8,Re:Live Kanjani 8,0jChVCmWd2idwnPlFRBsW0,0.015,0.507,241320.0,0.889,2.79e-06,9.0,0.0593,-3.141,0.0,0.049,97.859,4.0,0.5920000000000001
